Num,Name,Current Price,Fair Price,gap,avg_pe,div_yield,Symbol,Security,SEC filings,GICS Sector,GICS Sub-Industry,Headquarters Location,Date first added,CIK,Founded
AMZN,,3305.0,12140.264668181819,2.6733024714619718,111.6140909090909,0.0,AMZN,Amazon.com Inc.,reports,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington",2005-11-18,"0001018724
","1994
"
AAPL,,136.01,213.59021320754715,0.5704008029376308,15.903962264150946,0.6,AAPL,Apple Inc.,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1982-11-30,"0000320193
","1977
"
GOOGL,,2086.48,5121.397975,1.4545636550554042,27.95980769230769,0.0,GOOGL,Alphabet Inc. (Class A),reports,Communication Services,Interactive Media & Services,"Mountain View, California",2014-04-03,"0001652044
","1998
"
MSFT,,243.77,444.511275,0.8234863806046681,19.65125,0.92,MSFT,Microsoft Corp.,reports,Information Technology,Systems Software,"Redmond, Washington",1994-06-01,0000789019,"1975
"
FB,,271.87,1781.5259874999995,5.552859776731526,51.83375,0.0,FB,"Facebook, Inc.",reports,Communication Services,Interactive Media & Services,"Menlo Park, California",2013-12-23,0001326801,"2004
"
JNJ,,166.81,395.509958490566,1.3710206731644743,15.437547169811316,2.45,JNJ,Johnson & Johnson,reports,Health Care,Pharmaceuticals,"New Brunswick, New Jersey",1973-06-30,0000200406,"1886
"
JPM,,139.58,293.1157425925925,1.0999838271428035,10.110925925925924,2.57,JPM,JPMorgan Chase & Co.,reports,Financials,Diversified Banks,"New York, New York",1975-06-30,"0000019617
","2000 (1799 / 1871)
"
BRK.B,,239.91,991.5588333333336,3.1330450307754316,16.14916666666667,0.0,BRK.B,Berkshire Hathaway,reports,Financials,Multi-Sector Holdings,"Omaha, Nebraska",2010-02-16,"0001067983
","1839
"
WMT,,144.13,324.69540000000006,1.2527953930479434,13.735000000000005,1.49,WMT,Walmart,reports,Consumer Staples,Hypermarkets & Super Centers,"Bentonville, Arkansas",1982-08-31,"0000104169
","1962
"
V,,206.52,599.1086204081632,1.9009714333147552,29.196326530612243,0.62,V,Visa Inc.,reports,Information Technology,Data Processing & Outsourced Services,"San Francisco, California",2009-12-21,0001403161,"1958
"
NVDA,,590.57,595.5017039999999,0.008350752662681569,27.8012,0.11,NVDA,Nvidia Corporation,reports,Information Technology,Semiconductors,"Santa Clara, California",2001-11-30,0001045810,"1993
"
MA,,333.44,724.2619428571428,1.1720907595283794,27.51755102040816,0.52,MA,Mastercard Inc.,reports,Information Technology,Data Processing & Outsourced Services,"Harrison, New York",2008-07-18,0001141391,"1966
"
PG,,128.67,264.16012222222224,1.0530047580805335,16.740185185185187,2.45,PG,Procter & Gamble,reports,Consumer Staples,Personal Products,"Cincinnati, Ohio",1957-03-04,0000080424,"1837
"
UNH,,329.63,897.4621189655172,1.7226348298562548,14.198103448275864,1.54,UNH,UnitedHealth Group Inc.,reports,Health Care,Managed Health Care,"Minnetonka, Minnesota",1994-07-01,0000731766,"1977
"
PYPL,,284.2,405.73405625,0.4276356659042929,47.014375,0.0,PYPL,PayPal,reports,Information Technology,Data Processing & Outsourced Services,"San Jose, California",2015-07-20,0001633917,"1998
"
HD,,276.77,727.8574448275862,1.6298278166982922,17.01396551724138,2.14,HD,Home Depot,reports,Consumer Discretionary,Home Improvement Retail,"Atlanta, Georgia",1988-03-31,0000354950,"1978
"
BAC,,32.95,112.17999999999998,2.4045523520485577,14.363636363636365,2.18,BAC,Bank of America Corp,reports,Financials,Diversified Banks,"Charlotte, North Carolina",1976-06-30,"0000070858
","1998 (1923 / 1874)
"
NFLX,,563.59,2743.582357894737,3.868046554933083,118.46210526315788,0.0,NFLX,Netflix Inc.,reports,Communication Services,Movies & Entertainment,"Los Gatos, California",2010-12-20,0001065280,"1997
"
INTC,,58.86,240.12173888888884,3.079540246158492,11.639444444444445,2.35,INTC,Intel Corp.,reports,Information Technology,Semiconductors,"Santa Clara, California",1976-12-31,"0000050863
","1968
"
CMCSA,,52.72,151.17400754716982,1.8674887622756031,15.879622641509433,1.77,CMCSA,Comcast Corp.,reports,Communication Services,Cable & Satellite,"Philadelphia, Pennsylvania",2002-11-19,0001166691,"1963
"
ADBE,,496.05,1332.023466666667,1.685260491213924,40.41333333333334,0.0,ADBE,Adobe Inc.,reports,Information Technology,Application Software,"San Jose, California",1997-05-05,0000796343,"1982
"
VZ,,55.0,186.18324375,2.3851498863636356,11.195625,4.56,VZ,Verizon Communications,reports,"Communication Services
",Integrated Telecommunication Services,"New York, New York",1983-11-30,"0000732712
","1983 (1877)
"
AMD,,90.91,177.87950000000006,0.9566549334506664,47.56136363636365,0.0,AMD,Advanced Micro Devices Inc,reports,Information Technology,Semiconductors,"Santa Clara, California",2017-03-20,0000002488,"1969
"
GM,,54.88,107.56162941176471,0.9599422268907564,9.664117647058823,0.0,GM,General Motors,reports,Consumer Discretionary,Automobile Manufacturers,"Detroit, Michigan",2013-06-06,"0001467858
","1908
"
MMM,,180.94,550.8814206896553,2.044553004806319,15.685689655172414,3.25,MMM,3M Company,reports,Industrials,Industrial Conglomerates,"St. Paul, Minnesota",1976-08-09,0000066740,"1902
"
ABT,,125.15,153.27031886792454,0.22469291944006844,22.18094339622642,1.45,ABT,Abbott Laboratories,reports,Health Care,Health Care Equipment,"North Chicago, Illinois",1964-03-31,0000001800,"1888
"
ABBV,,105.4,354.3167222222222,2.361638730761122,19.761111111111113,4.87,ABBV,AbbVie Inc.,reports,Health Care,Pharmaceuticals,"North Chicago, Illinois",2012-12-31,0001551152,"2013 (1888)
"
ACN,,256.94,545.7726,1.1241246983731612,17.425689655172413,1.37,ACN,Accenture plc,reports,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",2011-07-06,0001467373,"1989
"
